idsismo,idcountry,mag,place,time,tsunami,lng,lat,depth,danger
28,3,4.3,"260 km SSE of Tateyama, Japan",2010-02-06 11:46:41,0,140.504,32.696,69.1,1
29,3,4.3,"off the east coast of Honshu, Japan",2010-02-07 22:45:43,0,142.597,33.167,10.0,1
30,3,4.3,"off the east coast of Honshu, Japan",2010-02-07 22:53:31,0,142.51,33.049,10.0,1
31,3,4.4,"297 km SE of Katsuura, Japan",2010-02-08 01:33:15,0,142.489,33.169,10.2,1
32,3,4.4,"15 km N of Fukagawa, Japan",2010-02-13 22:33:47,0,142.075,43.842,184.1,1
33,3,4.3,"48 km ENE of Iwaki, Japan",2010-02-14 02:57:39,0,141.415,37.147,57.3,1
34,3,5.3,"164 km ENE of Miyako, Japan",2010-02-16 01:57:16,0,143.651,40.332,15.8,1
35,3,4.2,"178 km ENE of Miyako, Japan",2010-02-16 03:27:44,0,143.85,40.306,10.0,1
36,3,4.3,"178 km ENE of Miyako, Japan",2010-02-16 03:31:56,0,143.867,40.278,5.5,1
37,3,4.2,"179 km ENE of Miyako, Japan",2010-02-16 03:44:58,0,143.852,40.32,7.4,1
38,3,4.2,"177 km ENE of Miyako, Japan",2010-02-16 05:30:59,0,143.797,40.371,18.1,1
39,3,4.3,"256 km E of Namie, Japan",2010-02-16 08:29:01,0,143.893,37.299,35.0,1
40,3,4.7,"10 km SSE of Tateyama, Japan",2010-02-16 19:59:30,0,139.894,34.89,76.0,1
41,3,4.9,"Izu Islands, Japan region",2010-02-17 02:52:42,0,138.187,29.953,472.9,1
42,3,4.5,"Bonin Islands, Japan region",2010-02-17 11:39:27,0,139.934,27.948,443.6,1
43,3,4.4,"221 km SSE of Tateyama, Japan",2010-02-20 10:07:15,0,140.975,33.215,40.6,1
44,3,4.8,"44 km E of Namie, Japan",2010-02-21 00:56:57,0,141.495,37.427,50.4,1
45,3,4.4,"Bonin Islands, Japan region",2010-02-21 18:37:43,0,141.662,28.017,51.9,1
46,3,4.2,"3 km NW of Funaishikawa, Japan",2010-02-22 09:52:53,0,140.539,36.486,65.1,1
47,3,4.2,"Izu Islands, Japan region",2010-02-26 19:07:59,0,141.153,30.86,58.5,1
48,3,4.4,"142 km SE of Hasaki, Japan",2010-02-28 08:15:57,0,141.917,34.809,10.0,1
49,3,5.6,"108 km ESE of ?hara, Japan",2010-02-28 08:17:44,0,141.468,34.832,10.0,1
50,3,4.2,"141 km ESE of ?hara, Japan",2010-02-28 13:51:55,0,141.812,34.741,10.0,1
51,3,5.1,"5 km NW of ?magari, Japan",2010-02-28 22:07:47,0,140.44,39.482,121.8,1
52,3,4.5,"Izu Islands, Japan region",2010-03-04 19:31:54,0,141.939,31.463,9.6,1
53,3,4.2,"106 km SSE of Shimoda, Japan",2010-03-04 21:49:55,0,139.518,33.842,17.9,1
54,3,4.3,"64 km E of ?arai, Japan",2010-03-05 07:53:15,0,141.304,36.316,35.4,1
55,3,4.5,"Izu Islands, Japan region",2010-03-08 20:22:38,0,140.963,30.288,112.9,1
56,3,4.1,"Hokkaido, Japan region",2010-03-10 12:50:02,0,141.217,42.106,105.5,1
57,3,4.6,"Izu Islands, Japan region",2010-03-11 18:27:19,0,141.663,30.67,12.6,1
58,3,4.0,"3 km SW of Mitsukaid?, Japan",2010-03-12 07:08:36,0,139.953,35.991,45.2,1
59,3,5.2,"115 km SE of Hasaki, Japan",2010-03-12 17:32:08,0,141.595,34.898,15.3,1
60,3,5.2,"Bonin Islands, Japan region",2010-03-12 19:29:00,0,142.64,28.592,29.4,1
61,3,5.6,"29 km ENE of Namie, Japan",2010-03-13 12:46:26,0,141.299,37.594,76.7,1
62,3,4.4,"Bonin Islands, Japan region",2010-03-13 17:28:23,0,142.771,28.622,18.8,1
63,3,4.4,"37 km SSE of Muroran, Japan",2010-03-14 01:59:19,0,141.203,42.019,102.9,1
64,3,4.2,"Bonin Islands, Japan region",2010-03-14 02:21:04,0,142.757,28.567,3.5,1
65,3,4.7,"194 km SSE of Tateyama, Japan",2010-03-14 07:04:15,0,140.843,33.424,60.1,1
66,3,6.5,"59 km ENE of Namie, Japan",2010-03-14 08:08:03,0,141.59,37.745,32.0,1
67,3,4.4,"43 km E of Hasaki, Japan",2010-03-14 09:58:36,0,141.309,35.781,25.4,1
68,3,4.2,"5 km W of Narut?, Japan",2010-03-15 22:30:01,0,140.359,35.606,54.6,1
69,3,4.5,"6 km SSE of Chiba, Japan",2010-03-15 22:30:32,0,140.144,35.549,63.5,1
70,3,4.4,"177 km S of ?yama, Japan",2010-03-16 06:41:02,0,138.09,33.006,283.2,1
71,3,4.4,"Bonin Islands, Japan region",2010-03-16 20:08:27,0,142.118,28.999,35.8,1
72,3,4.2,"5 km SE of Daigo, Japan",2010-03-19 10:27:32,0,140.397,36.736,78.0,1
73,3,4.2,"Izu Islands, Japan region",2010-03-19 21:46:20,0,142.278,31.467,9.9,1
74,3,3.6,"213 km SSE of Tateyama, Japan",2010-03-20 05:14:07,0,140.34,33.098,35.0,1
75,3,4.5,"200 km SSE of Tateyama, Japan",2010-03-27 20:02:35,0,140.818,33.359,58.9,1
76,3,4.2,"6 km ENE of Kasukabe, Japan",2010-03-29 01:29:26,0,139.823,35.999,56.2,1
77,3,4.2,"166 km W of Iwanai, Japan",2010-03-29 17:35:51,0,138.491,43.241,20.9,1
78,3,5.7,"177 km WNW of Iwanai, Japan",2010-03-30 01:02:51,0,138.379,43.308,8.0,1
79,3,4.4,"3 km E of Funaishikawa, Japan",2010-03-30 21:18:34,0,140.605,36.463,53.9,1
80,3,4.6,"Izu Islands, Japan region",2010-04-01 10:49:22,0,141.656,31.622,19.3,1
81,3,4.3,"125 km ESE of Ishinomaki, Japan",2010-04-02 18:32:56,0,142.611,37.968,41.7,1
82,3,4.1,"134 km S of Kushiro, Japan",2010-04-04 12:07:48,0,144.657,41.781,25.2,1
83,3,4.1,"Izu Islands, Japan region",2010-04-04 15:28:00,0,141.616,31.102,35.9,1
84,3,4.4,"105 km ESE of Iwaki, Japan",2010-04-05 09:36:33,0,142.039,36.855,10.0,1
85,3,4.9,"19 km E of Kushiro, Japan",2010-04-08 18:41:48,0,144.612,42.998,50.2,1
86,3,4.1,"Bonin Islands, Japan region",2010-04-13 15:01:51,0,141.12,27.508,84.3,1
87,3,4.7,"Izu Islands, Japan region",2010-04-14 08:16:22,0,140.001,31.727,102.8,1
88,3,4.4,"4 km NW of Shibata, Japan",2010-04-16 07:38:18,0,139.298,37.985,43.9,1
89,3,4.0,"62 km ESE of Takahagi, Japan",2010-04-16 12:32:07,0,141.35,36.48,44.8,1
90,3,4.0,"69 km ESE of Namie, Japan",2010-04-18 07:33:46,0,141.767,37.337,34.7,1
91,3,4.3,"63 km SE of ?hara, Japan",2010-04-20 03:05:38,0,140.968,34.918,5.3,1
92,3,4.3,"Bonin Islands, Japan region",2010-04-20 04:57:13,0,142.853,28.253,35.0,1
93,3,4.1,"Bonin Islands, Japan region",2010-04-22 12:27:24,0,141.34,28.127,10.0,1
94,3,4.3,"Izu Islands, Japan region",2010-04-23 01:59:15,0,142.331,32.127,39.7,1
95,3,4.5,"Bonin Islands, Japan region",2010-04-24 10:37:34,0,140.039,27.226,444.2,1
96,3,4.8,"111 km ESE of Ishinomaki, Japan",2010-04-25 21:22:47,0,142.423,37.949,68.2,1
97,3,5.1,"85 km ESE of Owase, Japan",2010-04-26 23:23:50,0,136.977,33.654,355.6,1
98,3,4.4,"25 km E of Funaishikawa, Japan",2010-04-28 22:21:47,0,140.844,36.435,37.3,1
99,3,4.5,"32 km ESE of Iwaki, Japan",2010-04-29 08:01:02,0,141.214,36.919,35.0,1
100,3,4.3,"251 km SE of Katsuura, Japan",2010-04-29 14:12:51,0,142.475,33.755,4.3,1
101,3,4.8,"148 km NW of Mikuni, Japan",2010-04-29 15:19:09,0,134.946,37.134,361.5,1
102,3,4.6,"2 km ENE of Mitsuke, Japan",2010-05-01 09:20:40,0,138.961,37.547,43.7,1
103,3,4.2,"63 km ESE of Kitaibaraki, Japan",2010-05-01 23:59:14,0,141.439,36.646,39.8,1
104,3,3.8,"Izu Islands, Japan region",2010-05-02 06:09:04,0,142.127,32.899,21.3,1
105,3,5.0,"Izu Islands, Japan region",2010-05-02 08:13:17,0,141.98,29.21,30.8,1
106,3,6.1,no data,2010-05-03 10:27:45,0,140.951,29.645,84.0,1
107,3,4.4,"Bonin Islands, Japan region",2010-05-03 11:32:22,0,141.864,27.565,44.2,1
108,3,4.4,"Izu Islands, Japan region",2010-05-05 13:19:33,0,141.794,32.536,10.0,1
109,3,4.7,"Izu Islands, Japan region",2010-05-06 08:08:35,0,140.015,31.399,119.0,1
110,3,4.0,"15 km NW of Kitaibaraki, Japan",2010-05-06 19:38:24,0,140.644,36.901,43.9,1
111,3,4.6,"Izu Islands, Japan region",2010-05-11 22:51:23,0,140.452,30.67,104.0,1
112,3,4.7,"280 km SSE of Tateyama, Japan",2010-05-12 18:55:33,0,141.011,32.642,48.8,1
113,3,4.4,"89 km ESE of Hasaki, Japan",2010-05-14 02:52:58,0,141.742,35.411,28.8,1
114,3,4.1,"72 km SSE of Hasaki, Japan",2010-05-16 08:52:24,0,141.193,35.146,35.0,1
115,3,4.0,"Izu Islands, Japan region",2010-05-22 07:18:18,0,137.988,31.334,400.7,1
116,3,4.2,"Izu Islands, Japan region",2010-05-22 19:55:19,0,141.752,32.439,21.1,1
117,3,4.5,"116 km SE of Shing?, Japan",2010-05-25 22:38:27,0,136.688,32.863,422.0,1
118,3,4.4,"Izu Islands, Japan region",2010-05-29 07:37:17,0,142.579,32.847,9.3,1
119,3,4.1,"Izu Islands, Japan region",2010-05-30 04:47:05,0,142.67,32.795,3.4,1
120,3,4.7,"Izu Islands, Japan region",2010-05-31 16:35:01,0,141.902,30.541,42.8,1
121,3,4.7,"32 km E of Namie, Japan",2010-06-01 04:49:24,0,141.365,37.529,59.2,1
122,3,4.3,"Bonin Islands, Japan region",2010-06-02 11:21:39,0,142.671,28.735,16.8,1
123,3,4.3,"30 km SE of Yuzawa, Japan",2010-06-02 22:39:30,0,140.751,38.978,51.1,1
124,3,4.1,"Izu Islands, Japan region",2010-06-03 16:51:04,0,139.19,30.193,304.6,1
125,3,4.5,"32 km S of Tsuruoka, Japan",2010-06-03 23:25:17,0,139.892,38.432,145.0,1
126,3,4.6,"172 km S of ?yama, Japan",2010-06-05 16:36:40,0,138.031,33.057,310.9,1
127,3,4.3,"5 km N of Yotsukaid?, Japan",2010-06-05 22:19:29,0,140.17,35.696,63.2,1
128,3,4.3,"218 km SSE of Tateyama, Japan",2010-06-06 10:34:16,0,140.73,33.148,51.9,1
129,3,4.1,"eastern Honshu, Japan",2010-06-07 05:01:41,0,140.858,39.076,47.9,1
130,3,4.6,"Izu Islands, Japan region",2010-06-08 01:56:37,0,142.055,30.438,31.4,1
131,3,4.0,"18 km N of Honch?, Japan",2010-06-08 09:26:02,0,140.691,42.065,127.3,1
132,3,4.3,"75 km SSE of Obihiro, Japan",2010-06-08 10:47:55,0,143.701,42.342,51.7,1
133,3,4.1,"off the east coast of Honshu, Japan",2010-06-09 14:51:02,0,142.768,33.053,35.0,1
134,3,4.6,"Izu Islands, Japan region",2010-06-10 00:03:56,0,142.45,32.905,8.9,1
135,3,4.7,"Izu Islands, Japan region",2010-06-10 03:10:17,0,142.408,32.91,37.6,1
136,3,4.2,"Izu Islands, Japan region",2010-06-10 08:00:47,0,142.643,32.744,35.0,1
137,3,4.2,"off the east coast of Honshu, Japan",2010-06-10 16:29:02,0,145.395,40.124,35.0,1
138,3,5.9,"near the east coast of Honshu, Japan",2010-06-13 03:32:57,0,141.625,37.372,27.0,1
139,3,4.3,"141 km ESE of Katsuura, Japan",2010-06-14 03:40:46,0,141.624,34.475,16.3,1
140,3,4.3,"Izu Islands, Japan region",2010-06-14 03:53:48,0,141.449,31.1,24.8,1
141,3,4.7,"Izu Islands, Japan region",2010-06-14 10:07:33,0,142.447,32.906,10.0,1
142,3,4.1,"Izu Islands, Japan region",2010-06-15 13:23:20,0,142.671,32.875,10.0,1
143,3,4.4,"Izu Islands, Japan region",2010-06-16 09:26:15,0,142.512,32.874,10.0,1
144,3,4.3,"Izu Islands, Japan region",2010-06-16 18:17:33,0,143.278,29.383,35.0,1
145,3,4.0,"Izu Islands, Japan region",2010-06-17 04:04:04,0,142.416,32.759,20.3,1
146,3,4.2,"Izu Islands, Japan region",2010-06-17 09:37:07,0,142.551,32.869,10.0,1
147,3,4.3,"Izu Islands, Japan region",2010-06-18 10:33:01,0,142.52,32.798,10.0,1
148,3,4.0,"Izu Islands, Japan region",2010-06-19 04:49:49,0,142.613,32.892,10.0,1
149,3,5.0,"101 km S of Shizunai-furukawach?, Japan",2010-06-19 10:00:50,0,142.453,41.42,34.3,1
150,3,4.4,"off the east coast of Honshu, Japan",2010-06-20 20:49:35,0,142.501,33.011,30.0,1
151,3,4.5,"Izu Islands, Japan region",2010-06-23 01:57:10,0,140.105,29.518,150.9,1
152,3,4.4,"200 km SE of Katsuura, Japan",2010-06-24 17:55:52,0,142.062,34.064,10.0,1
153,3,4.3,"Izu Islands, Japan region",2010-06-25 00:17:35,0,141.797,30.674,15.4,1
154,3,4.5,"Izu Islands, Japan region",2010-06-25 18:15:29,0,142.565,32.99,35.0,1
155,3,5.3,"55 km NE of Mutsu, Japan",2010-06-27 21:03:27,0,141.657,41.662,67.6,1
156,3,4.3,"Izu Islands, Japan region",2010-06-28 10:40:17,0,142.384,32.921,35.0,1
157,3,4.4,"Izu Islands, Japan region",2010-06-28 11:05:42,0,142.421,32.963,23.9,1
158,3,5.8,"Izu Islands, Japan region",2010-06-28 12:07:25,0,141.593,30.672,7.0,1
159,3,4.4,"Izu Islands, Japan region",2010-06-28 12:59:19,0,142.401,32.953,35.0,1
160,3,4.9,"off the east coast of Honshu, Japan",2010-06-28 13:00:11,0,142.489,33.026,4.3,1
161,3,4.6,"Izu Islands, Japan region",2010-06-28 13:05:27,0,142.437,32.972,35.9,1
162,3,4.2,"Izu Islands, Japan region",2010-06-28 13:42:12,0,142.442,32.97,37.2,1
163,3,4.3,"Izu Islands, Japan region",2010-06-28 14:20:48,0,142.485,32.983,29.5,1
164,3,4.4,"off the east coast of Honshu, Japan",2010-06-28 15:58:00,0,142.481,33.008,34.9,1
165,3,4.3,"Izu Islands, Japan region",2010-06-28 15:59:45,0,141.268,30.463,28.1,1
166,3,4.3,"19 km SW of T?no, Japan",2010-06-28 22:24:09,0,141.381,39.188,114.7,1
167,3,4.3,"Izu Islands, Japan region",2010-07-01 14:48:12,0,140.588,31.608,62.2,1
168,3,4.5,"36 km SSE of Shizunai-furukawach?, Japan",2010-07-02 12:30:07,0,142.48,42.012,64.5,1
169,3,4.2,"off the east coast of Honshu, Japan",2010-07-03 01:20:57,0,142.578,33.036,19.6,1
170,3,5.1,"eastern Honshu, Japan",2010-07-03 19:33:14,0,140.715,39.058,24.9,1
171,3,4.3,"65 km SSE of Toba, Japan",2010-07-04 01:07:42,0,137.141,33.947,330.8,1
172,3,4.0,"Izu Islands, Japan region",2010-07-04 01:37:50,0,142.569,32.858,10.0,1
173,3,4.1,"Izu Islands, Japan region",2010-07-04 02:16:09,0,142.527,32.959,10.0,1
174,3,4.6,"5 km SE of Inashiki, Japan",2010-07-04 06:03:04,0,140.364,35.925,80.1,1
175,3,4.8,"Izu Islands, Japan region",2010-07-04 21:13:23,0,138.245,29.789,468.9,1
176,3,6.3,"37 km E of Miyako, Japan",2010-07-04 21:55:51,0,142.369,39.697,27.0,1
177,3,4.8,"Izu Islands, Japan region",2010-07-04 22:46:08,0,142.784,29.47,19.5,1
178,3,4.6,"25 km NW of Obama, Japan",2010-07-05 15:48:35,0,135.58,35.682,342.3,1
179,3,4.3,"Izu Islands, Japan region",2010-07-05 17:39:06,0,142.494,32.898,1.2,1
180,3,4.3,"60 km WNW of Iwanai, Japan",2010-07-06 01:59:19,0,139.845,43.229,189.5,1
181,3,4.3,"10 km ESE of Hanamaki, Japan",2010-07-06 12:22:48,0,141.228,39.353,10.0,1
182,3,4.3,"Izu Islands, Japan region",2010-07-07 22:14:08,0,142.071,30.761,20.2,1
183,3,4.5,"43 km S of Kushiro, Japan",2010-07-08 12:23:28,0,144.355,42.587,57.9,1
184,3,4.5,"74 km SE of Hasaki, Japan",2010-07-08 17:50:13,0,141.347,35.21,9.5,1
185,3,4.2,"Izu Islands, Japan region",2010-07-09 05:21:12,0,142.367,30.453,10.0,1
186,3,4.2,"Bonin Islands, Japan region",2010-07-10 02:40:55,0,141.892,28.498,53.8,1
187,3,4.3,"48 km E of ?arai, Japan",2010-07-11 02:00:04,0,141.124,36.357,37.0,1
188,3,4.2,"Izu Islands, Japan region",2010-07-11 14:59:29,0,142.155,30.996,10.0,1
189,3,4.3,"189 km SE of Katsuura, Japan",2010-07-13 02:43:37,0,141.607,33.811,20.8,1
190,3,4.6,"Izu Islands, Japan region",2010-07-13 08:34:21,0,142.862,29.59,10.0,1
191,3,4.2,"59 km ESE of Kushiro, Japan",2010-07-15 21:18:37,0,145.07,42.814,72.9,1
192,3,3.7,"Izu Islands, Japan region",2010-07-17 18:08:48,0,142.121,30.573,7.1,1
193,3,4.1,"179 km S of Shimoda, Japan",2010-07-19 16:46:46,0,139.082,33.059,35.0,1
194,3,4.9,"8 km WSW of Hashimoto, Japan",2010-07-20 21:19:20,0,135.533,34.28,66.1,1
195,3,5.1,"9 km WSW of Sawara, Japan",2010-07-22 21:06:34,0,140.413,35.839,47.0,1
196,3,4.3,"5 km ENE of H?j?, Japan",2010-07-23 05:25:46,0,132.83,34.001,15.7,1
197,3,5.0,"41 km ESE of ?funato, Japan",2010-07-26 23:31:04,0,142.156,38.933,19.5,1
198,3,4.5,"78 km SE of Obihiro, Japan",2010-07-27 23:06:45,0,143.738,42.332,52.4,1
199,3,4.1,"Izu Islands, Japan region",2010-07-28 17:36:33,0,142.551,32.102,35.0,1
200,3,4.4,"65 km ENE of Misawa, Japan",2010-07-30 04:52:00,0,142.091,40.945,73.3,1
201,3,5.3,"Bonin Islands, Japan region",2010-07-30 20:43:05,0,139.672,27.691,496.9,1
202,3,4.7,"265 km SSE of ?yama, Japan",2010-07-31 03:52:55,0,138.855,32.269,237.9,1
203,3,3.9,"127 km SSE of Katsuura, Japan",2010-07-31 09:20:44,0,140.877,34.093,54.1,1
204,3,4.3,"119 km ENE of Hasaki, Japan",2010-08-01 11:47:01,0,141.957,36.297,36.4,1
205,3,4.3,"121 km ENE of Hasaki, Japan",2010-08-01 11:52:20,0,141.997,36.282,11.9,1
206,3,4.8,"9 km SE of ?tawara, Japan",2010-08-02 22:30:48,0,140.098,36.803,84.5,1
207,3,4.4,"83 km ESE of Iwaki, Japan",2010-08-03 14:39:53,0,141.8,36.886,26.6,1
208,3,4.2,"6 km ENE of Shizukuishi, Japan",2010-08-03 21:43:41,0,141.057,39.719,35.0,1
209,3,4.3,"43 km E of Kitaibaraki, Japan",2010-08-04 14:11:29,0,141.238,36.768,46.3,1
210,3,4.5,"37 km SE of Watari, Japan",2010-08-04 23:53:46,0,141.179,37.826,78.9,1
211,3,4.5,"122 km SE of Katsuura, Japan",2010-08-05 17:30:26,0,141.116,34.262,47.8,1
212,3,4.6,"45 km ESE of Kushiro, Japan",2010-08-07 05:31:25,0,144.897,42.835,61.2,1
213,3,4.6,"105 km SE of Ishinomaki, Japan",2010-08-07 16:03:24,0,142.161,37.749,33.2,1
214,3,4.2,"87 km E of Namie, Japan",2010-08-08 16:18:15,0,141.97,37.63,43.5,1
215,3,5.0,"Bonin Islands, Japan region",2010-08-10 01:41:04,0,142.255,28.616,19.6,1
216,3,5.9,"103 km E of Yamada, Japan",2010-08-10 05:50:37,0,143.148,39.406,22.4,1
217,3,4.4,"114 km E of Yamada, Japan",2010-08-10 06:04:12,0,143.277,39.398,38.3,1
218,3,4.5,"121 km E of Yamada, Japan",2010-08-10 16:00:38,0,143.358,39.369,10.0,1
219,3,4.1,"115 km E of Yamada, Japan",2010-08-10 20:00:23,0,143.292,39.47,37.0,1
220,3,4.4,"115 km E of Yamada, Japan",2010-08-12 01:09:10,0,143.288,39.46,22.6,1
221,3,4.3,"223 km SSE of Preobrazheniye, Russia",2010-08-13 05:49:18,0,134.768,40.991,411.9,1
222,3,4.4,"101 km E of Miyako, Japan",2010-08-13 08:32:39,0,143.123,39.682,24.5,1
223,3,4.3,"Izu Islands, Japan region",2010-08-13 20:19:43,0,142.641,32.681,1.3,1
224,3,4.4,"Izu Islands, Japan region",2010-08-14 02:35:13,0,142.766,32.672,13.8,1
225,3,4.3,"Izu Islands, Japan region",2010-08-14 03:14:29,0,142.551,32.634,0.5,1
226,3,4.8,"Hokkaido, Japan region",2010-08-14 04:25:08,0,142.223,42.827,104.1,1
227,3,4.5,"Izu Islands, Japan region",2010-08-14 08:00:15,0,142.704,32.77,35.0,1
228,3,4.6,"83 km ENE of Mutsu, Japan",2010-08-15 02:19:05,0,142.192,41.463,67.2,1
229,3,4.4,"Izu Islands, Japan region",2010-08-15 10:28:41,0,142.257,29.764,5.1,1
230,3,4.0,"149 km E of Yamada, Japan",2010-08-15 15:07:53,0,143.688,39.431,17.1,1
231,3,4.5,"107 km NE of Hasaki, Japan",2010-08-15 15:30:24,0,141.805,36.296,12.9,1
232,3,4.1,"Izu Islands, Japan region",2010-08-17 13:09:43,0,141.452,29.48,31.9,1
233,3,5.3,"263 km SE of Shing?, Japan",2010-08-18 23:33:14,0,137.918,32.01,365.3,1
234,3,4.1,"Izu Islands, Japan region",2010-08-19 18:09:02,0,142.844,31.038,8.3,1
235,3,4.5,"65 km ESE of Namie, Japan",2010-08-21 14:26:00,0,141.702,37.306,37.0,1
236,3,4.6,"Izu Islands, Japan region",2010-08-24 15:44:39,0,142.504,29.221,10.0,1
237,3,4.4,"202 km E of Yamada, Japan",2010-08-25 09:26:13,0,144.295,39.349,10.0,1
238,3,5.4,"25 km ENE of Katsuyama, Japan",2010-08-26 15:08:04,0,136.773,36.116,277.8,1
239,3,4.1,"Izu Islands, Japan region",2010-08-26 20:13:44,0,141.921,32.474,35.0,1
240,3,4.3,"109 km E of Ishinomaki, Japan",2010-08-28 00:19:14,0,142.543,38.32,36.4,1
241,3,4.3,"55 km SSE of Hasaki, Japan",2010-08-28 15:14:37,0,141.037,35.266,9.2,1
242,3,4.7,"79 km WNW of Noshiro, Japan",2010-08-31 02:30:36,0,139.13,40.403,47.6,1
243,3,4.4,"59 km ESE of Kitaibaraki, Japan",2010-08-31 18:27:31,0,141.37,36.582,48.0,1
244,3,5.2,"69 km SE of Ishinomaki, Japan",2010-09-01 07:32:53,0,141.788,37.925,44.4,1
245,3,5.1,"66 km SSW of Nemuro, Japan",2010-09-03 21:15:30,0,145.391,42.741,61.9,1
246,3,4.4,"Izu Islands, Japan region",2010-09-04 02:04:44,0,142.71,29.254,10.0,1
247,3,4.4,"Izu Islands, Japan region",2010-09-06 21:35:11,0,143.164,30.405,35.0,1
248,3,4.6,"Izu Islands, Japan region",2010-09-08 13:00:27,0,142.036,30.527,13.9,1
249,3,4.3,"Izu Islands, Japan region",2010-09-08 22:29:10,0,142.017,30.596,12.2,1
250,3,3.9,"Izu Islands, Japan region",2010-09-09 01:03:47,0,141.96,30.524,35.0,1
251,3,4.4,"73 km E of Ishinomaki, Japan",2010-09-10 23:28:16,0,142.134,38.474,53.8,1
252,3,4.2,"Izu Islands, Japan region",2010-09-11 08:50:03,0,142.82,29.418,10.0,1
253,3,4.2,"Izu Islands, Japan region",2010-09-12 03:18:07,0,142.659,31.327,10.0,1
254,3,5.8,"68 km ENE of Mutsu, Japan",2010-09-13 05:47:47,0,141.986,41.497,45.0,1
255,3,5.1,"Izu Islands, Japan region",2010-09-13 17:44:15,0,142.431,29.235,19.8,1
256,3,5.0,"Izu Islands, Japan region",2010-09-13 23:05:18,0,141.57,32.147,35.0,1
257,3,4.2,"Izu Islands, Japan region",2010-09-14 05:47:17,0,142.669,31.353,10.0,1
258,3,4.2,"Izu Islands, Japan region",2010-09-14 15:52:40,0,142.649,31.303,19.0,1
259,3,4.5,"Izu Islands, Japan region",2010-09-16 02:32:22,0,141.832,32.102,7.4,1
260,3,4.4,"Izu Islands, Japan region",2010-09-17 06:47:34,0,142.427,31.36,23.9,1
261,3,4.1,"Izu Islands, Japan region",2010-09-17 17:58:38,0,142.861,30.12,17.3,1
262,3,4.1,"108 km S of Tateyama, Japan",2010-09-18 01:49:37,0,140.031,34.011,35.7,1
263,3,4.3,"Izu Islands, Japan region",2010-09-19 10:42:54,0,142.598,31.388,10.0,1
264,3,4.3,"Izu Islands, Japan region",2010-09-19 11:10:00,0,142.642,31.452,10.0,1
265,3,4.4,"Izu Islands, Japan region",2010-09-19 14:03:36,0,142.508,31.378,14.5,1
