time,lat,lng,depth,mag,place,country
2012/01/24 06:01:28,37.3801667,-113.8443333,11.5,3.04,"14 km WNW of Veyo, Utah",USA
2012/01/24 12:11:28,38.9693333,-122.693,2.578,3.8,"2 km NE of Clear Lake Riviera, California",USA
2012/01/24 18:21:02,30.315,-103.382,5.0,3.6,"17 km NW of Marathon, Texas",USA
2012/01/24 21:35:52,43.736,-105.251,0.0,3.2,"19 km E of Wright, Wyoming",USA
2012/01/25 10:51:30,46.3401667,-122.2361667,7.621,3.42,"24 km S of Morton, Washington",USA
2012/01/26 02:20:19,36.9353333,-121.6801667,11.034,3.39,"5 km ESE of Interlaken, California",USA
2012/01/26 02:21:03,36.9363333,-121.683,10.985,3.22,"4 km ESE of Interlaken, California",USA
2012/01/26 10:16:49,41.0346667,-121.997,10.023,3.21,"7 km WNW of Big Bend, California",USA
2012/01/26 22:35:55,41.576,-85.49,4.7,3.0,"5 km NE of Topeka, Indiana",USA
2012/01/27 05:21:42,38.8121667,-122.8163333,2.76,3.28,"8 km W of Cobb, California",USA
2012/01/28 00:29:04,32.2991667,-115.294,12.103,3.3,"11km WSW of Delta, B.C., MX",USA
2012/01/28 19:12:32,43.79,-105.211,0.0,3.2,"23 km E of Wright, Wyoming",USA
2012/01/29 03:46:24,42.575,-108.416,5.0,3.2,"27 km ENE of Atlantic City, Wyoming",USA
2012/01/29 22:05:22,43.707,-105.093,0.0,3.2,"32 km E of Wright, Wyoming",USA
2012/01/30 03:56:16,38.8251667,-122.7991667,3.1,3.31,"6 km W of Cobb, California",USA
2012/01/30 03:57:18,38.8195,-122.8003333,3.319,3.0,"6 km W of Cobb, California",USA
2012/01/30 19:07:23,43.399,-104.93,0.0,3.0,"46 km NNW of Lance Creek, Wyoming",USA
2012/01/30 23:39:47,37.9453333,-77.983,3.18,3.1,"9 km SSE of Louisa, Virginia",USA
2012/02/01 14:40:32,40.872,-115.0747,0.0,4.0,"28 km SSW of Wells, Nevada",USA
2012/02/01 18:06:47,43.545,-105.256,0.0,3.1,"29 km SE of Wright, Wyoming",USA
2012/02/01 19:05:05,32.923,-115.5275,4.176,3.4,"6km S of Brawley, CA",USA
2012/02/02 20:06:40,43.804,-105.262,0.0,3.3,"19 km ENE of Wright, Wyoming",USA
2012/02/03 19:05:45,43.835,-105.176,0.0,3.4,"27 km ENE of Wright, Wyoming",USA
2012/02/04 11:27:03,40.012,-111.5068333,12.66,3.64,"12 km E of Woodland Hills, Utah",USA
2012/02/04 12:06:07,31.7048333,-115.9843333,6.416,3.0,"55km E of Maneadero, B.C., MX",USA
2012/02/04 12:48:08,28.845,-98.202,5.0,3.0,"23 km SW of Falls City, Texas",USA
2012/02/07 16:29:29,35.395,-96.524,5.0,3.3,"8 km NW of Cromwell, Oklahoma",USA
2012/02/07 19:05:30,43.785,-105.251,0.0,3.3,"19 km E of Wright, Wyoming",USA
2012/02/08 00:30:47,33.3585,-118.2133333,11.452,3.32,"11km E of Avalon, CA",USA
2012/02/08 04:16:24,40.0271,-118.8231,13.9,3.4,"34 km WSW of Lovelock, Nevada",USA
2012/02/08 19:42:22,43.555,-105.335,0.0,3.1,"25 km SSE of Wright, Wyoming",USA
2012/02/10 18:05:29,41.3363,-119.9816,0.0,3.1,"11 km E of Eagleville, California",USA
2012/02/11 09:46:47,33.2026667,-115.5525,0.074,3.0,"5km SW of Niland, CA",USA
2012/02/11 21:01:46,43.822,-105.271,0.0,3.5,"19 km ENE of Wright, Wyoming",USA
2012/02/12 03:06:09,37.8523333,-112.408,7.12,3.15,Utah,USA
2012/02/12 04:19:00,37.854,-112.4096667,6.93,3.47,"4 km NNE of Panguitch, Utah",USA
2012/02/13 04:47:12,38.7926667,-122.7431667,0.477,4.16,"3 km SSW of Cobb, California",USA
2012/02/13 19:44:58,43.782,-105.195,0.0,3.1,"24 km E of Wright, Wyoming",USA
2012/02/13 21:07:02,41.1431667,-123.7903333,27.358,5.6,"26 km NNW of Willow Creek, California",USA
2012/02/14 07:00:04,48.66,-114.68,12.9,3.3,"6 km ESE of Stryker, Montana",USA
2012/02/14 10:09:28,32.1991667,-115.2085,9.963,4.87,"5km SW of Alberto Oviedo Mota, B.C., MX",USA
2012/02/14 13:05:29,33.2421667,-116.2516667,4.658,3.01,"12km E of Borrego Springs, CA",USA
2012/02/14 19:35:55,32.127,-115.1926667,9.939,3.47,"11km S of Alberto Oviedo Mota, B.C., MX",USA
2012/02/16 02:09:14,38.0766667,-122.2328333,8.827,3.55,"3 km NNW of Crockett, California",USA
2012/02/16 08:20:58,39.6326667,-111.5538333,9.97,3.01,"6 km E of Fountain Green, Utah",USA
2012/02/16 15:21:32,31.5135,-115.5723333,7.165,3.41,"88km SSW of Alberto Oviedo Mota, B.C., MX",USA
2012/02/16 17:13:20,38.0781667,-122.234,8.247,3.54,Northern California,USA
2012/02/16 19:00:40,43.703,-105.232,0.0,3.2,"21 km ESE of Wright, Wyoming",USA
2012/02/16 20:16:51,43.593,-105.094,0.0,3.4,"36 km ESE of Wright, Wyoming",USA
2012/02/17 04:58:16,40.064,-119.5737,14.2,3.0,"12 km N of Sutcliffe, Nevada",USA
2012/02/20 19:37:25,33.2116667,-115.5541667,0.493,3.01,"4km SW of Niland, CA",USA
2012/02/21 09:58:43,36.8733333,-89.4226667,7.81,3.9,"4 km SSE of Bertrand, Missouri",USA
2012/02/21 18:59:51,43.909,-105.326,0.0,3.0,"22 km NE of Wright, Wyoming",USA
2012/02/22 12:49:56,37.908,-81.556,0.0,3.2,"6 km ESE of Twilight, West Virginia",USA
2012/02/23 14:02:06,26.704,-111.168,15.0,4.0,"78 km NNE of Loreto, Mexico",USA
2012/02/24 17:10:51,38.6499,-118.7564,8.2,3.2,"0 km NNW of Walker Lake, Nevada",USA
2012/02/24 18:26:12,44.106,-105.22,0.0,3.1,Wyoming,USA
2012/02/24 19:14:43,43.63,-105.13,0.0,3.2,"32 km ESE of Wright, Wyoming",USA
2012/02/24 20:01:13,43.51,-105.248,0.0,3.0,"33 km SE of Wright, Wyoming",USA
2012/02/24 22:47:22,47.616,-70.226,1.4,4.0,"6 km SW of La Malbaie, Canada",USA
2012/02/25 05:17:15,40.2795,-124.3138333,19.4,4.28,"28 km SW of Scotia, California",USA
2012/02/26 10:15:11,42.8158333,-124.7626667,21.643,3.12,"23 km WNW of Port Orford, Oregon",USA
2012/02/26 11:31:19,33.216,-115.555,0.074,3.22,"4km SW of Niland, CA",USA
2012/02/26 17:37:11,38.6541,-118.7552,8.3,3.2,"0 km N of Walker Lake, Nevada",USA
2012/02/26 19:07:51,43.71,-105.206,0.0,3.0,"23 km ESE of Wright, Wyoming",USA
2012/02/28 19:02:05,43.702,-105.252,0.0,3.2,"20 km ESE of Wright, Wyoming",USA
2012/02/28 20:15:32,33.896,-119.4238333,11.872,3.46,"17km SSE of Santa Cruz Is. (E end), CA",USA
2012/02/28 20:42:02,42.676,-111.16,0.0,3.1,"14 km W of Fairview, Wyoming",USA
2012/02/29 01:27:29,32.2033333,-115.2825,9.962,4.2,"11km WSW of Alberto Oviedo Mota, B.C., MX",USA
2012/02/29 05:00:33,41.1426667,-123.7933333,30.321,3.73,"26 km NNW of Willow Creek, California",USA
2012/02/29 05:47:17,32.192,-115.2845,9.962,3.34,"12km WSW of Alberto Oviedo Mota, B.C., MX",USA
2012/02/29 14:48:05,33.2158333,-115.5561667,1.484,3.33,"4km SW of Niland, CA",USA
2012/02/29 15:01:39,33.2093333,-115.557,0.133,3.16,"5km SW of Niland, CA",USA
2012/02/29 17:35:55,33.2136667,-115.5605,2.603,3.38,"5km SW of Niland, CA",USA
2012/02/29 22:20:42,35.725,-97.168,4.9,3.0,"5 km WSW of Fallis, Oklahoma",USA
2012/02/29 22:36:22,37.333,-113.792,6.95,3.07,"8 km W of Veyo, Utah",USA
2012/03/01 16:31:08,36.6385,-121.2523333,5.812,3.15,"17 km SSE of Tres Pinos, California",USA
2012/03/01 17:15:33,36.6385,-121.2523333,5.963,3.42,"17 km SSE of Tres Pinos, California",USA
2012/03/05 13:33:12,37.9268333,-122.3038333,8.075,3.44,"1 km NNE of El Cerrito, California",USA
2012/03/05 13:33:20,37.9268333,-122.3103333,8.093,3.99,"1 km N of El Cerrito, California",USA
2012/03/06 13:10:21,37.002,-104.925,5.0,3.3,"16 km SSW of Weston, Colorado",USA
2012/03/06 19:02:19,43.625,-105.308,0.0,3.2,"20 km SE of Wright, Wyoming",USA
2012/03/08 06:44:06,39.9181,-115.6614,13.8,3.2,"51 km NNE of Eureka, Nevada",USA
2012/03/10 10:11:42,35.446,-96.572,0.9,3.1,"6 km S of Paden, Oklahoma",USA
2012/03/11 08:42:24,31.8763333,-114.9743333,9.928,3.17,"35km S of Estacion Coahuila, B.C., MX",USA
2012/03/12 11:37:21,44.3558333,-124.4455,25.76,3.12,"27 km W of Yachats, Oregon",USA
2012/03/14 06:30:20,39.0211667,-122.5773333,3.933,3.4,"8 km NNE of Clearlake, California",USA
2012/03/15 06:30:34,33.2281667,-116.097,13.712,3.4,"10km NNE of Ocotillo Wells, CA",USA
2012/03/15 06:31:23,33.2293333,-116.1016667,11.232,3.27,"10km NNE of Ocotillo Wells, CA",USA
2012/03/15 18:05:03,43.752,-105.186,0.0,3.0,"24 km E of Wright, Wyoming",USA
2012/03/15 20:06:23,43.753,-105.18,0.0,3.6,"25 km E of Wright, Wyoming",USA
2012/03/17 18:06:04,43.748,-105.199,0.0,3.3,"23 km E of Wright, Wyoming",USA
2012/03/17 23:21:22,38.8333333,-122.7663333,0.549,3.08,"3 km WNW of Cobb, California",USA
2012/03/18 10:57:22,32.281,-103.892,5.0,3.1,"18 km ENE of Malaga, New Mexico",USA
2012/03/18 18:48:45,46.7603333,-123.4713333,43.795,3.34,"17 km ENE of Willapa, Washington",USA
2012/03/19 07:19:43,32.6706667,-115.7086667,9.203,3.16,"15km NW of Progreso, B.C., MX",USA
2012/03/19 09:50:22,40.4111667,-124.5868333,22.409,3.61,"32 km SW of Ferndale, California",USA
2012/03/20 02:17:46,38.4158,-118.7152,3.4,3.5,"14 km SSW of Hawthorne, Nevada",USA
2012/03/20 08:43:47,44.3613333,-124.4386667,29.19,3.17,"27 km WNW of Yachats, Oregon",USA
2012/03/20 09:28:37,44.3833333,-124.4563333,32.93,3.7,"29 km WNW of Yachats, Oregon",USA
2012/03/21 01:18:16,30.8921667,-114.122,-1.075,3.42,"167km SSE of Estacion Coahuila, B.C., MX",USA
2012/03/22 17:08:20,43.38,-105.075,0.0,3.0,"52 km NW of Lance Creek, Wyoming",USA
2012/03/22 18:23:08,43.779,-105.157,0.0,3.0,"27 km E of Wright, Wyoming",USA
2012/03/24 21:16:17,48.35,-122.281,7.749,3.57,"4 km ENE of Conway, Washington",USA
2012/03/26 03:21:50,37.9063333,-77.9878333,8.65,3.0,"13 km S of Louisa, Virginia",USA
2012/03/26 18:02:15,32.0463333,-115.0773333,9.928,3.07,"18km SSW of Estacion Coahuila, B.C., MX",USA
2012/03/26 19:50:13,32.6741667,-115.7045,8.923,3.63,"15km NW of Progreso, B.C., MX",USA
2012/03/27 17:21:43,44.132,-105.309,0.0,3.3,"15 km SE of Sleepy Hollow, Wyoming",USA
2012/03/27 20:30:33,34.152,-117.4495,12.809,3.42,"6km N of Fontana, CA",USA
2012/03/27 21:41:23,43.529,-105.108,0.0,3.0,"39 km SE of Wright, Wyoming",USA
2012/03/28 02:07:48,32.5898333,-115.6866667,9.955,3.03,"10km W of Progreso, B.C., MX",USA
2012/03/28 10:09:53,33.0071667,-116.4498333,9.957,3.31,"16km ESE of Julian, CA",USA
2012/03/29 17:22:06,38.9843333,-111.3658333,4.12,3.35,"12 km NW of Emery, Utah",USA
2012/03/29 20:25:22,26.978,-110.817,10.0,4.0,"54 km SW of Bahía de Lobos, Mexico",USA
2012/03/30 06:09:27,33.304,-116.8788333,13.889,3.26,"6km SSW of Palomar Observatory, CA",USA
2012/03/30 23:29:59,47.354,-66.094,5.0,3.4,"44 km SW of Bathurst, Canada",USA
2012/03/31 02:15:09,34.0056667,-118.8311667,11.939,3.02,"2km W of Malibu, CA",USA
2012/03/31 11:54:11,35.437,-96.574,5.0,3.3,"7 km S of Paden, Oklahoma",USA
2012/04/01 08:26:12,33.3785,-116.8525,6.71,3.0,"3km NNE of Palomar Observatory, CA",USA
2012/04/01 23:03:35,35.694,-121.1475,5.505,3.0,"6 km NE of San Simeon, California",USA
2012/04/03 07:34:00,34.635,-95.875,5.0,4.1,"8 km SSW of Pittsburg, Oklahoma",USA
2012/04/03 15:15:37,33.8575,-116.1565,1.497,3.52,"16km NNE of Indio, CA",USA
2012/04/03 20:07:01,43.744,-105.267,0.0,3.2,"18 km E of Wright, Wyoming",USA
2012/04/04 01:12:09,33.8576667,-116.1568333,1.927,3.54,"16km NNE of Indio, CA",USA
2012/04/04 20:59:13,32.6155,-115.816,8.858,3.01,"21km SE of Ocotillo, CA",USA
2012/04/06 03:16:20,36.5571667,-121.1186667,5.582,3.69,"23 km NE of Soledad, California",USA
2012/04/06 16:20:28,35.72,-97.159,5.0,3.1,"4 km SW of Fallis, Oklahoma",USA
2012/04/08 03:38:21,32.1263333,-115.1831667,9.928,3.48,"11km S of Alberto Oviedo Mota, B.C., MX",USA
2012/04/08 05:59:42,32.6553333,-115.835,1.738,3.23,"17km ESE of Ocotillo, CA",USA
2012/04/08 08:15:20,32.6216667,-115.8163333,9.858,3.12,"21km SE of Ocotillo, CA",USA
2012/04/09 21:37:10,27.483,-111.385,10.0,4.1,"62 km SSW of San Carlos, Mexico",USA
2012/04/10 04:43:35,46.0455,-118.7123333,14.011,3.17,"3 km WNW of Touchet, Washington",USA
2012/04/10 18:07:48,43.778,-105.242,0.0,3.2,"20 km E of Wright, Wyoming",USA
2012/04/12 02:29:39,41.927,-65.762,18.0,4.5,"207 km S of Shelburne, Canada",USA
2012/04/12 03:29:22,37.8178333,-112.1025,14.77,4.18,"16 km NNE of Bryce Canyon City, Utah",USA
2012/04/12 04:29:55,41.709,-65.634,10.0,4.2,"229 km S of Shelburne, Canada",USA
2012/04/12 04:32:03,41.941,-65.766,18.0,3.8,"205 km S of Shelburne, Canada",USA
2012/04/12 04:56:16,28.903,-113.262,10.0,4.0,"70 km NE of San Luis, Mexico",USA
2012/04/12 06:48:37,28.682,-113.084,10.0,4.7,"70 km ENE of San Luis, Mexico",USA
2012/04/12 07:06:00,28.837,-113.027,9.0,6.0,"83 km ENE of San Luis, Mexico",USA
2012/04/12 07:12:43,28.723,-113.146,10.0,4.9,"67 km ENE of San Luis, Mexico",USA
2012/04/12 07:15:48,28.696,-113.104,13.0,7.0,"69 km ENE of San Luis, Mexico",USA
2012/04/12 07:49:01,28.871,-112.898,10.0,4.1,"93 km W of Bahía de Kino, Mexico",USA
2012/04/12 07:49:21,27.876,-113.513,10.0,4.4,"27 km NNW of San Francisco, Mexico",USA
2012/04/12 07:57:32,28.543,-113.04,10.0,4.3,"70 km E of San Luis, Mexico",USA
2012/04/12 08:54:42,28.777,-113.431,16.1,4.4,"49 km NE of San Luis, Mexico",USA
2012/04/12 10:26:55,28.714,-113.07,10.0,4.9,"73 km ENE of San Luis, Mexico",USA
2012/04/12 12:10:04,35.523,-96.774,5.0,3.1,"9 km WNW of Prague, Oklahoma",USA
2012/04/12 15:33:44,41.974,-65.842,18.0,3.8,"203 km SSW of Shelburne, Canada",USA
2012/04/12 15:43:53,42.021,-65.729,18.0,3.4,"196 km S of Shelburne, Canada",USA
2012/04/12 17:58:59,28.696,-113.139,10.0,4.0,"66 km ENE of San Luis, Mexico",USA
2012/04/12 18:53:01,33.4641667,-116.4663333,6.188,3.52,"22km ESE of Anza, CA",USA
2012/04/12 22:40:11,28.586,-112.74,10.0,4.1,"82 km WSW of Bahía de Kino, Mexico",USA
2012/04/13 00:22:10,28.94,-112.78,10.0,4.0,"82 km W of Bahía de Kino, Mexico",USA
2012/04/13 16:21:07,28.472,-112.886,13.9,4.0,"84 km E of San Luis, Mexico",USA
2012/04/13 22:18:54,36.8916667,-121.6278333,6.755,3.48,"1 km ENE of Aromas, California",USA
2012/04/14 07:35:58,34.944,-96.001,5.0,3.0,"3 km W of Arpelar, Oklahoma",USA
2012/04/14 08:28:30,28.778,-113.105,10.0,4.1,"73 km ENE of San Luis, Mexico",USA
2012/04/14 09:19:43,28.785,-113.169,5.8,4.0,"68 km NE of San Luis, Mexico",USA
2012/04/16 08:12:00,35.53,-96.759,4.4,3.8,"8 km NW of Prague, Oklahoma",USA
2012/04/16 10:23:24,28.946,-113.041,10.0,4.1,"89 km NE of San Luis, Mexico",USA
2012/04/16 18:10:43,44.113,-105.362,0.0,3.1,"15 km SSE of Sleepy Hollow, Wyoming",USA
2012/04/17 00:12:03,35.4663333,-119.3476667,24.389,3.43,"8km WSW of Shafter, CA",USA
2012/04/17 20:31:35,40.9736667,-124.4221667,19.019,4.15,"25 km WSW of Trinidad, California",USA
2012/04/18 10:03:06,26.882,-111.447,10.0,4.5,"53 km E of Mulegé, Mexico",USA
2012/04/18 18:03:01,43.847,-105.287,0.0,3.2,"19 km ENE of Wright, Wyoming",USA
2012/04/18 18:40:28,43.442,-105.164,0.0,3.0,"43 km SE of Wright, Wyoming",USA
2012/04/19 11:46:04,33.794,-116.0931667,1.38,3.04,"14km NE of Indio, CA",USA
2012/04/19 18:01:40,43.385,-105.88,0.0,3.0,"30 km E of Edgerton, Wyoming",USA
2012/04/20 22:22:24,25.495,-109.906,10.0,4.3,"66 km WSW of Campo Pesquero el Colorado, Mexico",USA
2012/04/21 12:45:25,35.58,-97.07,5.0,3.2,"12 km S of Wellston, Oklahoma",USA
2012/04/21 15:19:10,36.7781667,-121.4955,6.23,3.08,"8 km SSE of San Juan Bautista, California",USA
2012/04/22 16:18:33,33.3218333,-116.4023333,6.158,3.49,"8km NNW of Borrego Springs, CA",USA
2012/04/23 17:37:02,33.5025,-117.7198333,13.041,3.93,"2km SSW of Laguna Niguel, CA",USA
2012/04/24 19:44:09,33.7115,-116.8401667,16.754,3.31,"6km SE of Valle Vista, CA",USA
2012/04/27 08:38:37,40.3768333,-124.9858333,9.751,3.83,"65 km WSW of Ferndale, California",USA
2012/04/27 20:03:00,43.47,-104.926,0.0,3.1,"53 km NNW of Lance Creek, Wyoming",USA
2012/04/28 02:14:25,35.534,-96.748,5.0,3.1,"7 km NW of Prague, Oklahoma",USA
2012/04/28 15:07:28,34.2343333,-117.4345,12.105,3.82,"3km WNW of Devore, CA",USA
2012/04/28 21:25:08,32.1745,-115.2803333,9.653,4.15,"12km WSW of Alberto Oviedo Mota, B.C., MX",USA
2012/04/28 23:24:37,32.2176667,-115.2858333,-0.348,3.02,"11km W of Alberto Oviedo Mota, B.C., MX",USA
2012/04/30 17:14:01,35.53,-96.76,5.0,3.2,"8 km NW of Prague, Oklahoma",USA
2012/05/01 15:57:17,31.2526667,-115.9213333,-1.076,3.15,"80km SE of Maneadero, B.C., MX",USA
2012/05/01 17:11:16,44.109,-105.242,0.0,4.5,Wyoming,USA
2012/05/01 19:22:56,37.0636667,-117.9473333,-1.253,3.14,"32km ESE of Big Pine, CA",USA
2012/05/02 23:10:09,32.4206667,-115.5513333,12.155,3.3,"18km S of Progreso, B.C., MX",USA
2012/05/03 15:41:29,31.3411667,-115.6815,8.384,3.12,"94km ESE of Maneadero, B.C., MX",USA
2012/05/05 09:23:23,38.7956667,-122.7608333,1.825,4.25,"4 km SW of Cobb, California",USA
2012/05/05 09:24:34,38.799,-122.776,-0.09,3.34,"5 km WSW of Cobb, California",USA
2012/05/05 21:14:13,40.8571,-118.8052,7.6,3.0,"36 km ENE of Black Rock City, Nevada",USA
2012/05/07 18:11:31,43.757,-105.298,0.0,3.3,"15 km E of Wright, Wyoming",USA
2012/05/08 23:55:42,34.1596667,-116.4238333,7.049,3.16,"5km N of Yucca Valley, CA",USA
2012/05/09 08:18:08,32.1658333,-115.2398333,9.664,3.6,"10km SW of Alberto Oviedo Mota, B.C., MX",USA
2012/05/09 09:42:52,32.0906667,-115.7163333,4.376,3.7,"54km WSW of Alberto Oviedo Mota, B.C., MX",USA
2012/05/10 01:18:30,43.112,-110.457,5.0,3.6,"10 km SSW of Bondurant, Wyoming",USA
2012/05/10 06:24:38,32.1581667,-115.2121667,9.648,3.7,"9km SSW of Alberto Oviedo Mota, B.C., MX",USA
2012/05/10 15:15:38,31.964,-94.465,7.0,3.9,"9 km NW of Timpson, Texas",USA
2012/05/10 21:14:31,35.51,-96.781,5.0,3.8,"9 km WNW of Prague, Oklahoma",USA
2012/05/10 22:54:05,38.8066667,-87.4606667,10.7,3.1,"0 km NW of Emison, Indiana",USA
2012/05/11 02:23:36,32.2143333,-115.31,9.664,3.06,"13km W of Alberto Oviedo Mota, B.C., MX",USA
2012/05/11 04:37:50,35.512,-96.788,5.0,3.2,"9 km WNW of Prague, Oklahoma",USA
2012/05/11 06:19:32,32.0935,-115.736,9.366,3.9,"55km WSW of Alberto Oviedo Mota, B.C., MX",USA
2012/05/11 23:39:09,43.106,-105.043,0.0,3.3,"33 km WNW of Lance Creek, Wyoming",USA
2012/05/13 09:21:05,32.1958333,-115.279,9.664,3.07,"11km WSW of Alberto Oviedo Mota, B.C., MX",USA
2012/05/13 12:38:52,38.7873333,-122.7756667,2.849,3.9,"5 km SW of Cobb, California",USA
2012/05/13 21:09:21,25.313,-109.681,10.0,4.0,"61 km SW of Campo Pesquero el Colorado, Mexico",USA
2012/05/17 08:12:00,31.926,-94.369,5.0,4.8,"3 km NE of Timpson, Texas",USA
2012/05/18 10:37:12,33.3195,-116.4021667,6.338,3.61,"8km NNW of Borrego Springs, CA",USA
2012/05/18 16:51:16,37.1896667,-118.094,6.081,3.21,"17 km E of Big Pine, California",USA
2012/05/18 18:19:49,43.652,-105.192,0.0,3.5,"26 km ESE of Wright, Wyoming",USA
2012/05/19 07:39:24,44.316,-105.185,0.0,3.5,"19 km WNW of Moorcroft, Wyoming",USA
2012/05/20 10:21:09,32.2471667,-115.2656667,9.664,3.52,"9km WNW of Alberto Oviedo Mota, B.C., MX",USA
2012/05/21 06:19:58,33.476,-116.4868333,13.924,3.38,"19km ESE of Anza, CA",USA
2012/05/21 10:47:07,34.9626667,-118.577,8.203,3.61,"21km N of Neenach, CA",USA
2012/05/21 18:06:23,43.867,-105.22,0.0,3.3,"25 km ENE of Wright, Wyoming",USA
2012/05/21 21:22:19,43.631,-105.254,0.0,3.4,"23 km SE of Wright, Wyoming",USA
2012/05/22 15:06:24,32.6768333,-115.7031667,8.833,4.03,"16km NW of Progreso, B.C., MX",USA
2012/05/23 20:39:58,45.911,-106.68,0.0,3.0,"5 km NW of Colstrip, Montana",USA
2012/05/24 05:44:37,37.123,-104.743,5.0,3.2,"1 km ESE of Segundo, Colorado",USA
2012/05/24 05:45:27,34.9475,-116.724,1.029,3.17,"28km ENE of Barstow, CA",USA
2012/05/25 18:04:22,43.658,-105.231,0.0,3.4,"23 km ESE of Wright, Wyoming",USA
2012/05/27 13:05:48,34.947,-116.7218333,5.759,3.78,"28km E of Barstow, CA",USA
2012/05/29 00:27:20,24.765,-99.177,5.0,4.3,"31 km NW of San Carlos, Mexico",USA
2012/05/30 05:14:00,33.6918333,-119.058,16.181,3.98,"24km N of Santa Barbara Is., CA",USA
2012/05/31 06:42:55,33.1758333,-118.8333333,5.031,3.51,"27km NW of San Clemente Is. (NW tip), CA",USA
2012/06/02 15:55:38,32.113,-115.7331667,11.486,3.14,"54km SSW of Progreso, B.C., MX",USA
2012/06/03 17:31:37,37.2613333,-121.6356667,8.085,3.52,"14 km N of Morgan Hill, California",USA
2012/06/03 18:08:28,43.754,-105.223,0.0,3.4,"21 km E of Wright, Wyoming",USA
2012/06/03 18:31:12,44.241,-105.463,0.0,3.0,"1 km NNE of Antelope Valley-Crestview, Wyoming",USA
2012/06/06 18:07:15,43.835,-105.16,0.0,3.4,"28 km ENE of Wright, Wyoming",USA
2012/06/07 22:22:40,44.721,-105.459,0.0,3.0,"43 km SSW of Biddle, Montana",USA
2012/06/08 22:24:49,32.1096667,-115.7351667,11.836,3.77,"54km SSW of Progreso, B.C., MX",USA
